_ts,y_true,p_test,threshold,pnl_r
2025-11-16 23:00:00+00:00,1,0.8059,0.7000,1.0000
2025-11-24 23:00:00+00:00,1,0.7541,0.7000,1.0000
2025-11-30 23:00:00+00:00,0,0.7450,0.7000,-1.0000
2025-11-30 23:00:00+00:00,0,0.7450,0.7000,-1.0000
2025-12-03 23:00:00+00:00,1,0.8562,0.7000,1.0000
2025-12-10 23:00:00+00:00,1,0.8379,0.7000,1.0000
2025-12-10 23:00:00+00:00,1,0.8544,0.7000,1.0000
2025-12-11 23:00:00+00:00,1,0.8661,0.7000,1.0000
2025-12-11 23:00:00+00:00,1,0.8799,0.7000,1.0000
2025-12-14 23:00:00+00:00,0,0.7731,0.7000,-1.0000
2025-12-14 23:00:00+00:00,0,0.7731,0.7000,-1.0000
2025-01-26 23:00:00+00:00,1,0.8913,0.8000,1.0000
2025-01-26 23:00:00+00:00,1,0.9435,0.8000,1.0000
2025-01-26 23:00:00+00:00,1,0.8993,0.8000,1.0000
2025-01-26 23:00:00+00:00,1,0.8913,0.8000,1.0000
2025-01-26 23:00:00+00:00,1,0.9435,0.8000,1.0000
2025-01-26 23:00:00+00:00,1,0.8993,0.8000,1.0000
2025-01-29 23:00:00+00:00,1,0.8617,0.8000,1.0000
2025-01-29 23:00:00+00:00,1,0.8531,0.8000,1.0000
2025-02-02 23:00:00+00:00,1,0.8675,0.8000,1.0000
2025-02-02 23:00:00+00:00,1,0.9170,0.8000,1.0000
2025-02-02 23:00:00+00:00,1,0.8776,0.8000,1.0000
2025-02-02 23:00:00+00:00,1,0.8675,0.8000,1.0000
2025-02-02 23:00:00+00:00,1,0.9170,0.8000,1.0000
2025-02-02 23:00:00+00:00,1,0.8776,0.8000,1.0000
2025-02-09 23:00:00+00:00,1,0.8581,0.8000,1.0000
2025-02-09 23:00:00+00:00,1,0.9271,0.8000,1.0000
2025-02-09 23:00:00+00:00,1,0.8777,0.8000,1.0000
2025-02-09 23:00:00+00:00,1,0.8581,0.8000,1.0000
2025-02-09 23:00:00+00:00,1,0.9271,0.8000,1.0000
2025-02-09 23:00:00+00:00,1,0.8777,0.8000,1.0000
2025-02-10 23:00:00+00:00,1,0.8066,0.8000,1.0000
