variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-29 14:00:00+00:00,2021-11-29 14:02:00+00:00,16246.7500,2021-11-29 17:08:00+00:00,16379.9420,target,26.6384,16193.4732,16379.9420,133.1920,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-29 15:00:00+00:00,2021-11-29 15:03:00+00:00,16308.7500,2021-11-29 15:31:00+00:00,16251.0000,stop,28.8750,16251.0000,16453.1250,-57.7500,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-29 16:00:00+00:00,2021-11-29 16:03:00+00:00,4631.7500,2021-11-29 20:03:00+00:00,4661.7500,time_exit,7.7946,4616.1607,4670.7232,30.0000,1.9244
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-29 18:00:00+00:00,2021-11-29 18:02:00+00:00,16404.2500,2021-11-29 21:59:00+00:00,16413.7500,time_exit,32.2500,16339.7500,16565.5000,9.5000,0.1473
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-29 16:00:00+00:00,2021-11-29 16:03:00+00:00,16273.2500,2021-11-29 20:03:00+00:00,16398.0000,time_exit,34.8929,16203.4643,16447.7143,124.7500,1.7876
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-29 23:00:00+00:00,2021-11-29 23:03:00+00:00,16421.2500,2021-11-30 03:03:00+00:00,16402.5000,time_exit,30.5759,16360.0982,16574.1295,-18.7500,-0.3066
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-29 23:00:00+00:00,2021-11-29 23:03:00+00:00,4660.7500,2021-11-30 03:03:00+00:00,4659.7500,time_exit,7.4196,4645.9107,4697.8482,-1.0000,-0.0674
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-30 00:00:00+00:00,2021-11-30 00:02:00+00:00,16433.2500,2021-11-30 04:02:00+00:00,16412.2500,time_exit,26.9866,16379.2768,16568.1830,-21.0000,-0.3891
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-30 00:00:00+00:00,2021-11-30 00:02:00+00:00,4663.7500,2021-11-30 04:02:00+00:00,4659.2500,time_exit,6.6964,4650.3571,4697.2321,-4.5000,-0.3360
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-30 06:00:00+00:00,2021-11-30 06:02:00+00:00,4598.0000,2021-11-30 06:30:00+00:00,4613.9643,stop,7.9821,4613.9643,4558.0893,-15.9643,-1.0000
