test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2023,ogap_gap_down_rejection,2023-05-21 22:00:00+00:00,YM.c.0,gap_down,0.8652,1,fixed_short
2023,ogap_gap_down_rejection,2023-05-21 22:00:00+00:00,NQ.c.0,gap_down,0.9387,1,fixed_short
2023,ogap_gap_down_rejection,2023-05-21 22:00:00+00:00,ES.c.0,gap_down,0.9105,1,fixed_short
2023,ogap_gap_down_rejection,2023-05-21 22:00:00+00:00,YM.c.0,gap_down,0.8652,1,fixed_short
2023,ogap_gap_down_rejection,2023-06-18 22:00:00+00:00,NQ.c.0,gap_down,0.9086,1,fixed_short
2023,ogap_gap_down_rejection,2023-06-18 22:00:00+00:00,NQ.c.0,gap_down,0.9086,1,fixed_short
2023,ogap_gap_down_rejection,2023-07-19 22:00:00+00:00,NQ.c.0,gap_down,0.8669,1,fixed_short
2023,ogap_gap_down_rejection,2023-08-01 22:00:00+00:00,NQ.c.0,gap_down,0.9216,1,fixed_short
2023,ogap_gap_down_rejection,2023-08-01 22:00:00+00:00,ES.c.0,gap_down,0.9308,1,fixed_short
2023,ogap_gap_down_rejection,2023-08-01 22:00:00+00:00,YM.c.0,gap_down,0.8842,1,fixed_short
2023,ogap_gap_down_rejection,2023-08-23 22:00:00+00:00,NQ.c.0,gap_down,0.8950,1,fixed_short
2023,ogap_gap_down_rejection,2023-09-17 22:00:00+00:00,NQ.c.0,gap_down,0.9343,1,fixed_short
2023,ogap_gap_down_rejection,2023-09-17 22:00:00+00:00,NQ.c.0,gap_down,0.9343,1,fixed_short
2023,ogap_gap_down_rejection,2023-10-08 22:00:00+00:00,NQ.c.0,gap_down,0.8786,1,fixed_short
2023,ogap_gap_down_rejection,2023-10-08 22:00:00+00:00,ES.c.0,gap_down,0.8851,1,fixed_short
2023,ogap_gap_down_rejection,2023-10-08 22:00:00+00:00,NQ.c.0,gap_down,0.8786,1,fixed_short
2023,ogap_gap_down_rejection,2023-10-08 22:00:00+00:00,ES.c.0,gap_down,0.8851,1,fixed_short
