feature,symbol,asset_class,count,n_years,per_year,n_with_outcomes,pct_thesis_up,hour_mode_utc,fwd10_mfe_pts_mean,fwd10_mae_pts_mean,fwd10_ratio_mfe_mae,fwd10_last_close_thesis_mean,fwd10_last_close_thesis_hitrate,fwd50_mfe_pts_mean,fwd50_mae_pts_mean,fwd50_ratio_mfe_mae,fwd50_last_close_thesis_mean,fwd50_last_close_thesis_hitrate
interval_true_range,RTY.c.0,index,8634,9,959.3,8517,0.0,20,,,,,,,,,,
interval_true_range,YM.c.0,index,8630,9,958.9,8509,0.0,20,,,,,,,,,,
interval_true_range,ZB.c.0,bond,8392,9,932.4,8238,0.0,20,,,,,,,,,,
interval_true_range,ZC.c.0,grain,8130,9,903.3,7753,0.0,18,,,,,,,,,,
interval_true_range,ZF.c.0,bond,7738,9,859.8,7539,0.0,20,,,,,,,,,,
interval_true_range,ZN.c.0,bond,8544,9,949.3,8413,0.0,20,,,,,,,,,,
interval_true_range,ZS.c.0,grain,7773,9,863.7,7359,0.0,18,,,,,,,,,,
interval_true_range,ZT.c.0,bond,7509,9,834.3,7258,0.0,20,,,,,,,,,,
interval_true_range,ZW.c.0,grain,7539,9,837.7,7093,0.0,18,,,,,,,,,,
volume_profile,6A.c.0,fx,7086,9,787.3,6733,0.0,22,,,,,,,,,,
volume_profile,6B.c.0,fx,7072,9,785.8,6697,0.0,22,,,,,,,,,,
volume_profile,6C.c.0,fx,5346,9,594.0,5021,0.0,22,,,,,,,,,,
